,precision,recall,f1-score,support
Severity 1,0.7354838709677419,0.22007722007722008,0.3387815750371471,518.0
Severity 2,0.9000632511068943,0.9548332983854058,0.9266396695223947,47690.0
Severity 3,0.7565819861431871,0.6476868327402135,0.697912228376651,10116.0
Severity 4,0.581573896353167,0.18890274314214464,0.2851764705882353,1604.0
accuracy,0.8761346949672941,0.8761346949672941,0.8761346949672941,0.8761346949672941
macro avg,0.7434257511427476,0.502875023586246,0.5621274858811071,59928.0
weighted avg,0.8658961585907097,0.8761346949672941,0.865779566420938,59928.0
